model_name,fold,checkpoint_iter,accuracy,precision,recall,f1,auc_macro,auc_micro
Tintro,1,6500,0.6364,0.43329999999999996,0.5832999999999999,0.4963,0.7421,0.6942
Tintro,2,7000,0.7273000000000001,0.7833,0.7222,0.7389,0.8294,0.843
Tintro,3,10000,0.5455,0.4167,0.5832999999999999,0.4722,0.6587,0.7025
Tintro,4,3000,0.7273000000000001,0.7222,0.7222,0.7222,0.7421,0.7686
Tintro,5,2500,0.5455,0.6667000000000001,0.5556,0.5238,0.5952,0.5992
T1,1,500,0.6364,0.746,0.6111,0.5996,0.7004,0.7066
T1,2,5000,0.6364,0.7222,0.6389,0.6570999999999999,0.7798,0.7521
T1,3,10000,0.4545,0.3889,0.5,0.4127,0.7579,0.7603
T1,4,5500,0.6364,0.6444,0.6389,0.6349,0.7579,0.7603
T1,5,1500,0.5455,0.6984,0.5556,0.5374,0.5893,0.6116
T2,1,3000,0.5455,0.3889,0.5,0.4127,0.6627,0.6405
T2,2,2000,0.2727,0.1,0.25,0.1429,0.5556,0.5413
T2,3,2500,0.4545,0.3,0.4167,0.3481,0.6984,0.6612
T2,4,10000,0.4545,0.625,0.44439999999999996,0.43329999999999996,0.746,0.6901
T2,5,1000,0.3636,0.12119999999999999,0.3333,0.1778,0.6091,0.5785
UF,1,7500,0.6364,0.42219999999999996,0.5832999999999999,0.4889,0.8333,0.7727
UF,2,8000,0.7273000000000001,0.7833,0.7222,0.7389,0.877,0.8636
UF,3,5500,0.5455,0.39289999999999997,0.5832999999999999,0.45,0.6885,0.6983
UF,4,3500,0.7273000000000001,0.7222,0.7222,0.7222,0.8036,0.7851
UF,5,2000,0.5455,0.6667000000000001,0.5556,0.5238,0.5119,0.5413
p+CNN,1,4500,0.6429,0.6905,0.65,0.6561,0.7111,0.7781
p+CNN,2,4500,0.6923,0.7714,0.7333,0.6389,0.6861,0.7663
p+CNN,3,7000,0.5,0.5,0.5,0.5,0.5694,0.5893
p+CNN,4,2000,0.6923,0.7333,0.7333,0.7333,0.7917,0.8077
p+CNN,5,8000,0.6923,0.6833,0.6833,0.6833,0.7824,0.7959
