Model,Fold,Checkpoint,Accuracy,Precision,Recall,F1,AUC Macro,AUC Micro
Tintro,1,6500,63.64,43.33,58.33,49.63,0.7421,0.6942
Tintro,2,7000,72.73,78.33,72.22,73.89,0.8294,0.8430
Tintro,3,10000,54.55,41.67,58.33,47.22,0.6587,0.7025
Tintro,4,3000,72.73,72.22,72.22,72.22,0.7421,0.7686
Tintro,5,2500,54.55,66.67,55.56,52.38,0.5952,0.5992
T1,1,500,63.64,74.60,61.11,59.96,0.7004,0.7066
T1,2,5000,63.64,72.22,63.89,65.71,0.7798,0.7521
T1,3,10000,45.45,38.89,50.00,41.27,0.7579,0.7603
T1,4,5500,63.64,64.44,63.89,63.49,0.7579,0.7603
T1,5,1500,54.55,69.84,55.56,53.74,0.5893,0.6116
T2,1,3000,54.55,38.89,50.00,41.27,0.6627,0.6405
T2,2,2000,27.27,10.00,25.00,14.29,0.5556,0.5413
T2,3,2500,45.45,30.00,41.67,34.81,0.6984,0.6612
T2,4,10000,45.45,62.50,44.44,43.33,0.7460,0.6901
T2,5,1000,36.36,12.12,33.33,17.78,0.6091,0.5785
